sentence_id	topic	label	sentence
4ae176a95efdbdc0c09c20694eb76ebe	kärnkraft	pro	Global uppvärmning och klimatförändringar Nationerna har i århundraden varit beroende av kol för att producera en majoritet av sin el, men nu med global uppvärmning och klimatförändringar många nationer letar efter gröna alternativ.
73f8db128a18dd1dd4a9e805e2edc42c	kärnkraft	con	Kunderna har varit ovilliga att köpa nya reaktorkonstruktioner eftersom NRC inte har varit väl rustat för att utvärdera nya konstruktioner.
dea6c882164c005819fb8b2c49836491	kärnkraft	pro	Å andra sidan ser en tredjedel kärnkraft mer som en fördelaktig energikälla än som en risk.
9571713cabdcdf6b18819ef6f6863756	kärnkraft	non	Nya investeringar är också nödvändiga för att upprätthålla säkerheten och säkerheten i kärnkraftverken, vilket i sin tur är avgörande för att säkerställa allmänhetens och den politiska acceptansen för industrins långsiktiga framtid, betonade Piebalgs.
a023efd8f0c11ac6a38b8f585d32e9ac	kärnkraft	non	Laboratoriet drivs av Los Alamos National Security, LLC, för avdelningen för energiefektivitet som skapar framgång i en OLIKA MILJÖ
c040ea1632966d1ee3258e28e05b879d	kärnkraft	pro	En global renässans på kärnenergiområdet kommer att locka till sig bygg- och anläggningsarbeten samt högkvalificerade ingenjörsarbeten för att driva anläggningarna.
1e855af0b7067ec3324d013e9197658b	kärnkraft	non	Globalt initiativ för att bekämpa kärnterrorism som syftar till att säkra kärnmaterial och uppmanar alla nationer att agera beslutsamt och ansvarsfullt för att motverka terrorister som är inriktade på nukleärt och radiologiskt våld.
6338e46823b85f2e1f374b50cdd3a972	kärnkraft	non	Dessa fria neutroner kommer också att försöka sakta ner så att det blir möjligt att neutronerna absorberas av överskottsbränslet som kan starta många fler fissionsreaktioner.
4026f3b192495c565b92e8d50c90e0dd	kärnkraft	non	Bottom LineHöga startkostnader och en negativ stigma i samband med kärnreaktorer har hindrat spridningen av kärnenergi.
416a6c6673da68f88581230aac96a5d2	kärnkraft	con	Kärnkraftverk släpper rutinmässigt ut små mängder radioaktiva isotoper under drift och de kan frigöra stora mängder vid olyckor.
bf683929f574f8d8ad7799ed95081cef	kärnkraft	non	Överdrivet oro med säkerhet dök upp och hela kärnkraftsverksamheten var höljd i osäkerhet, . Shwageraus förklarar.
9350017b05fd2cbf3fc48906c591636b	kärnkraft	con	När det gäller mitt personliga svar anser jag att kärnkraft inte bör utvecklas, eftersom byggandet av fler kraftverk skulle kunna orsaka skadliga effekter, särskilt om olyckor inträffar.
d237e5bdda16d2046d85a87b9ec92647	kärnkraft	pro	Denna ökade energiefterfrågan kommer sannolikt att leda till ökade utsläpp av växthusgaser och omfattande globala uppvärmningsskador... Om vi ska kunna bekämpa denna hotande kris kommer vi att behöva en blandad påse med lösningar.
a27a876091b9143522674789b54529d9	kärnkraft	non	Dessa berodde på mänsklig vårdslöshet, bland annat att man överskuggade nödstoppssystemet för ett experiment.
5195d1748a5ffd6b682572b7df2d8136	kärnkraft	non	Trots oron utvecklade presidenten inte mycket om kärnkraftsverksamhetens framtidsutsikter, utan inriktade sig på alternativa sätt att optimera energieffektiviteten.
69363bf464a4b2f21453ec77daeb294f	kärnkraft	non	För att räknas som förnybar bör energikällan (bränsle) vara hållbar under en obegränsad tidsperiod, enligt definitionen av förnybar energi.
221fddc348960523072bf1662403ca22	kärnkraft	con	Andra grupper som Unionen för berörda forskare betonade att kärnkraftsproduktionen helt enkelt inte var kostnadseffektiv.
4ad6cca0f49d75db54b7213d24f1d563	kärnkraft	non	Jag har problem med förbudet mot kärnkraftsanläggningar i Kalifornien, som bidrog till 1990-talets energikris, liksom med att regeringar byggde och hjälpte till att upprätthålla kärnkraftsanläggningar mot protesterna från många av deras ämnen.
184307c7f09dcce1ce091704b5b2440f	kärnkraft	pro	Den japanska regeringen har anammat kärnkraft som en attraktiv inhemsk energikälla, som är mindre sårbar för störningar än oljeimport.
3905fa17bb25dceb44d2e3891ccc4aa2	kärnkraft	con	Allteftersom kärnteknik och kommersiella energiprogram sprids, kan detta öka risken för spridning av kärnvapen och äventyra värdlandets säkerhet och eventuellt varje nation på jorden.
79607bf203407c1b700bcbcf3d792e33	kärnkraft	non	Av särskilt intresse är utvecklingsländer som strävar efter att få kärnkraft och som för närvarande saknar infrastruktur, erfarenhet och regleringsstrukturer för att framgångsrikt förvalta ett sådant stort industriföretag.
ab2b950b6ff875731704c9806782e265	kärnkraft	non	USA varnar för närvarande människor i Japan för att stanna minst 50 kilometer från kärnkraftverket Fukushima[5] och små strålningsspetsar har upptäckts i Tokyo.
3a4b8b101009520e948d35514af40106	kärnkraft	pro	Fusion är generellt sett en säkrare process och producerar mindre problematiskt avfall.
375f22d6de387af5682ff2c733ec33ef	kärnkraft	non	Denna debatt bygger alltid på den fara som kärnkraftverk och kärnavfall utgör, vilka är farliga i tusentals år.
c150cebde2e08dcb998157dbacf7ebda	kärnkraft	non	Att se till att IAEA har de resurser som krävs för att uppfylla sitt ansvar när kärnkraften expanderar över hela världen.
122898ce2e8366d9784b811e24e566d0	kärnkraft	pro	Staterna förlitar sig i hög grad på kärnkraft för elproduktion, särskilt som en källa till utsläppsfri energi.
291fedb0121d412463229f2d8e5318c6	kärnkraft	pro	Ungefär 60 % av befolkningen anser också att kärnenergin bidrar positivt till landets energioberoende, ekonomin och till den fortsatta tillgången på el.
a9e6b2fe19a92ea215f90403c98e3126	kärnkraft	non	Vi erbjuder gratis flash spel i många olika genrer: online skytte spel, online pusselspel, online krig spel, gratis online bil spel, gratis online dolda objekt spel och dussintals mer.
ff998abb0563f6c8b9cb60ef4ba23769	kärnkraft	con	Olyckor Händer Radioaktivt avfall kan utgöra ett hot mot miljön och är farligt för människor.
77799d98d61cd1263700a1eb30c2f53a	kärnkraft	pro	Många studier visar att kärnkraftens livscykelutsläpp är jämförbara med förnybara former av produktion, såsom vind- och vattenkraft, och mycket mindre än kol- eller naturgasdrivna kraftverk.
9af935d28967e6bf00871f37a562d5bb	kärnkraft	con	Men det kan också vara skadligt för miljön och mänskligheten, och det krävs allvarlig uppmärksamhet för att undvika oönskade problem.
a64c1f113593cfc04a199e7226b3e48f	kärnkraft	con	Av det som har diskuterats ovan är det lätt att identifiera att solenergi är mer lovande än kärnenergi för sin föroreningsfria produktion, säkerhet och bekvämlighet.
